كلام جميل لكن هناك اسئلة ملحة لم تطرح اثناء اللقاءهل هناك حيز زمني للحوار الفئوي القطاعي خصوصا المتعلق بالمتصرفين و المهندسينهل النقابات قادرة على التصدي للحكومة و ألا تنصاع لأي مقايضة الدرجة الجديدة مقابل تمرير قانون الاضراب و نظام التقاعد,politique
لبناء المجتمع الذي يطمح إليه الجميع لابد من حوار اجتماعي تنخرط فيه كافة شرائح المجتمع واحترام الرأي الآخر وجعل القانون فوق الجميع,politique
ولكن لم يذكر المتقاعدين هل ليس لهم الحق في الزيادة وهم الذين اسسوا النوات الأولى للإدارة المغربية والآن كبروا ومعرضين لكثرة الأمراض ومصاريف الحياة تضاعف مرات ومرات فمن ينصفهم,politique
حبذا لو فتحت الابواب لمغاربة العالم البارزين للمشاركة في الحكومة لتحسن الأداء و سرعة الإنجاز ولعلموا الوزراء المغاربة كيفية التعامل واحترام المال العام,politique
يقول الخبراء والباحثين وعلماء الاجتماع ان اخطر الاستعمار هو الاستعمار الفرنكفوري الفرنسي لانه يركز على تغير العقل والتفكيرفرنساخرجت من المغرب عسكريا لكنها مازالت مستعمرة لبلادنافمؤسسات الدولة مازالت حتى اليوم تراسل المغاربة بلغة المستعمرالغاشم الذي قتل اجدادنا بالسلاح المخرم دوليا وهل فرنسا تراسل مواطنيها بلغة اخرى غير,politique
هادا هو العصير ديال بصح السيد هلال خاصنا منه بزاففهاد البلاد السعيد كيشفي الغليل تبارك الله عليك السي هلال,politique
فعلا هذا هو حالها وهذا هو معدنها البخس معدن القصدير المختلط بالزفت الذي لا يصنع منه اي منتوج سوى كونه اصبح من المتلاشيات الملوثة للمجتمع الدولي,politique
شكرا للسفير المغربي هلال الرحل القوي في المنصب المناسب للدفاع عن ارض المغرب من أطروحة الهواري الانفصالية الفاشية تجاه المغربالحزاءر دولة منافقة في سياستها متنكرة للتاريخ والجغرافية خادمة للاستعمار الجديدالجزاءر ورثت الحقد والارهاب من الهواري والقذافي وتريد استعمار المغرب بحجة الدفاع عن المضلومين الوهميين لديهاالمغربي صحراءه إلى الابد والحرار في حقدها إلى الابد لاهية لشعبهالن تنالو حبة رمل من صحراء المغرب جنة الله في ارضه,politique
أكبر عدو للمغرب وللشعب المغربي وأمنه واستقراره ووحدته الترابية هي الجزائر وعلى المغاربة ملكا وحكومة وشعبا أخذ الحيطة والحذر من جيران السوءفقد ترك الحسن الثاني قولته المشهورة ليعرف العالم مع من حشرنا في الجوار انتهى الكلام,politique
بما أن جميع الدول تقريبا و المنظمات الحقوقية سواء كانت حكومية أو مدنية على علم بما تحبكه الحزائر ضد الشعوب و الأمم و البلدان و أن اجندتها الوحيدة هي زرع التفرقة و البلبلة و خلق النعرات بين فلا أعلم ماذا ينتظر المجتمع الدولي لنبذ الكيان الكرغولي و طرده من جميع الهيئات و المنظمات العالمية سؤال دائما يؤرق بالي لم يبق للمغرب إلا الحصول على الدعم الدولي و الموافقة الدولية و إعلان الحرب على منبع الشر و القضاء على هذا الكيان الذي يهدد السلم و الامن الدوليالمغاربة صغيرا و كبيرا مع صاحب الجلالة الملك محمد السادس و قواتنا المسلحة الباسلة للتصدي لهؤلاء المخلوقات الشيطانية,politique
السفير هلال يقصف الجزائر بالحجر كلما خرجت عن الصف تجسيدا لفكرة الرئيس تبوننمد اليد اليمنى للتعاون و بناء الإتحاد المغاربي و لكن نصفع باليد اليسرى كلما دعت الضرورة لذلك,politique
تحية وتقدير سيدي عمر والله العظيم الى حطيتي النقط على الحروف براڤو عليك لي خاصو يتقال قلتيه الله يرضي ويقوي من امثالك في المملكة المغربية الشريفة شكرا سي هلال,politique
لا فض فوك الرجل المناسب في المكان المناسب ما احوجنا للشرفاء الذين يتفانون في القيام بالواجب فحب الوطن والدغاع عنه بكل الوسائل واجب مقدس,politique
تحية للسفير عمر هلال لكن من الأفضل مواجهة النظام الجزائري بهجوم مباغث و ضربات استباقية بدل الاكتفاء بالدفاع و رد الفعل لأن هذا ما يبحث عنه مندوب الجزائر أخذ المبادرة و كشف عورة النظام و محاصرته تجعله يركن مندوب العسكر في لجنة يهجم و نحن نرد هذا أمر يجعله بطلا في نظر زمرة المرادية حتى لو لم يعطي أي كان من الممكن إثارة قميص نهضة بركان الذي أحدث حالة استنفار قصوى في دوائر المخابرات الجزائرية و رئاسة الجمهورية كرد على القزم الذي قال أن قضية الصحراء لا تعني بلده,politique
السيد عمر هلال الدبلوماسي المناسب في المكان المناسب قاهر الكراغلة أعداء الوحدة الترابية,politique
عمر هلال ديبلوماسي محنك كلماته بشكل دقيق و في الصميم و في الوقت المناسب أتمنى له التوفيق في مهام التصدي للشردمة العسكرية و خدامها,politique
الجزائر سرطان وجب استئصاله من الجذورالعالم كله ساكت او يدعم المغرب الا الجزائرالله يصبرنا وصافي,politique
لم نر مثل السيد السفير عمر هلال من قبل ديبلوماسي منحك وردوده حول قضيتنا المركزية تشفي الغليل بارك الله فيك سيدي السفير,politique
شكرا للاستاذ الدكتور هلال فعلا الجزائر أخطر من الصهيونية على المغرب,politique
واش الذئب والسبع في قامة الى الذئب شاف السبع ركابيه طاحوا ههههه يعني السيد هلال دبلوماسي محنك له خبرة كبيرة جلالة الملك يعتمد عليه السيد هلال اذا نطق صاب ام الدبلوماسي الهكاوي يهرطق فقط يقحم مواضيع ليس في محلها وبالتالي تعلم اولا ثم عاند ولا تحسد تحياتي للسيد هلال اسد المغربي وديما مغرب,politique
الجزائر انطلقت من خط البداية بخلق كيان فوق أراضيها و لم تعرف الوصول إلى خط النهاية و لم تعرف أن المغرب جعلها تفقد البوصلة في متاهة لم تعرف الخروج منها سليمة معافاة يجب ألا يزيد السيد هلال يمنح الجزائر أكثر مما تستحق و دعوتها للموائد فهي أمام العالم تصرح بأنها غير معنية و في كل مرة تثير قضية الصحراء يجب تذكيرها بأنها غير معنية و لا يزيد جدلا في من تقزم فكره و عقله و من دخل في ما لايعنيه سمع ما لا يرضيه,politique
مع كامل الأسف أسطوانة النضام في الجزائر رغم شرخها بكثرة استعمالها لا زال هذا النضام البائس يحاول الركوب من جديد رغم أنه سقط مئئئئات المرات من فوق حماره لكن المغاربة بالمرصاد لكل المتطاولين على وحدتنا الترابية و عاشت الصحراء مغربية رغم كيد الكائدين,politique
